id,content,style,resnet50,vit_b_16,clip_vit_b_32,clip_zero_shot
p0_d0_00,cat,dog,cat,cat,cat,cat
p0_d0_01,cat,dog,cat,cat,cat,cat
p0_d0_04,cat,dog,cat,cat,cat,cat
p0_d0_06,cat,dog,cat,cat,cat,cat
p0_d0_08,cat,dog,cat,cat,cat,cat
p0_d0_10,cat,dog,cat,cat,cat,monkey
p0_d0_11,cat,dog,deer,cat,dog,dog
p0_d0_12,cat,dog,cat,cat,cat,cat
p0_d0_13,cat,dog,cat,cat,cat,cat
p0_d0_14,cat,dog,deer,deer,cat,cat
p0_d0_15,cat,dog,deer,horse,horse,dog
p0_d0_17,cat,dog,deer,cat,cat,cat
p0_d0_18,cat,dog,cat,cat,cat,cat
p0_d0_19,cat,dog,deer,cat,cat,cat
p0_d0_20,cat,dog,cat,cat,cat,monkey
p0_d0_21,cat,dog,deer,deer,cat,horse
p0_d0_22,cat,dog,cat,cat,cat,dog
p0_d0_23,cat,dog,cat,cat,cat,monkey
p0_d0_25,cat,dog,cat,cat,cat,cat
p0_d0_26,cat,dog,cat,cat,cat,cat
p0_d1_00,dog,cat,dog,dog,dog,dog
p0_d1_01,dog,cat,dog,dog,dog,dog
p0_d1_02,dog,cat,bird,monkey,deer,deer
p0_d1_03,dog,cat,cat,dog,cat,cat
p0_d1_04,dog,cat,dog,dog,monkey,monkey
p0_d1_05,dog,cat,cat,horse,dog,dog
p0_d1_07,dog,cat,bird,deer,deer,deer
p0_d1_08,dog,cat,deer,dog,dog,dog
p0_d1_09,dog,cat,dog,dog,horse,horse
p0_d1_11,dog,cat,cat,dog,dog,dog
p0_d1_15,dog,cat,dog,dog,dog,dog
p0_d1_16,dog,cat,dog,dog,cat,dog
p0_d1_17,dog,cat,dog,dog,dog,dog
p0_d1_18,dog,cat,dog,dog,dog,dog
p0_d1_19,dog,cat,dog,deer,dog,dog
p0_d1_20,dog,cat,dog,dog,dog,dog
p0_d1_21,dog,cat,dog,dog,dog,dog
p0_d1_22,dog,cat,dog,deer,dog,dog
p0_d1_23,dog,cat,dog,dog,dog,dog
p0_d1_24,dog,cat,dog,dog,dog,dog
p1_d0_00,deer,horse,deer,deer,deer,deer
p1_d0_01,deer,horse,deer,deer,deer,deer
p1_d0_02,deer,horse,deer,deer,deer,deer
p1_d0_03,deer,horse,horse,deer,deer,deer
p1_d0_04,deer,horse,deer,deer,deer,deer
p1_d0_05,deer,horse,deer,deer,deer,deer
p1_d0_06,deer,horse,deer,deer,deer,deer
p1_d0_08,deer,horse,deer,deer,deer,deer
p1_d0_09,deer,horse,deer,deer,horse,horse
p1_d0_11,deer,horse,deer,deer,deer,deer
p1_d0_12,deer,horse,deer,deer,deer,deer
p1_d0_14,deer,horse,horse,horse,horse,horse
p1_d0_15,deer,horse,deer,deer,deer,deer
p1_d0_16,deer,horse,deer,deer,deer,deer
p1_d0_18,deer,horse,deer,deer,deer,deer
p1_d0_19,deer,horse,deer,deer,deer,deer
p1_d0_22,deer,horse,deer,deer,deer,deer
p1_d0_23,deer,horse,deer,deer,dog,dog
p1_d0_24,deer,horse,deer,deer,deer,deer
p1_d0_25,deer,horse,deer,deer,deer,deer
p1_d1_00,horse,deer,deer,horse,horse,horse
p1_d1_01,horse,deer,horse,horse,horse,horse
p1_d1_02,horse,deer,deer,horse,horse,horse
p1_d1_03,horse,deer,horse,horse,horse,horse
p1_d1_05,horse,deer,horse,horse,horse,horse
p1_d1_06,horse,deer,horse,horse,bird,horse
p1_d1_07,horse,deer,deer,horse,horse,horse
p1_d1_08,horse,deer,horse,horse,horse,horse
p1_d1_09,horse,deer,horse,dog,horse,horse
p1_d1_10,horse,deer,horse,horse,horse,horse
p1_d1_11,horse,deer,horse,deer,horse,horse
p1_d1_12,horse,deer,deer,horse,horse,horse
p1_d1_13,horse,deer,horse,horse,horse,horse
p1_d1_14,horse,deer,horse,horse,horse,horse
p1_d1_15,horse,deer,horse,horse,horse,horse
p1_d1_16,horse,deer,horse,horse,horse,horse
p1_d1_17,horse,deer,horse,horse,horse,horse
p1_d1_18,horse,deer,horse,horse,horse,horse
p1_d1_19,horse,deer,deer,horse,horse,horse
p1_d1_20,horse,deer,horse,horse,horse,horse
p2_d0_00,car,truck,horse,car,car,car
p2_d0_01,car,truck,car,car,car,car
p2_d0_02,car,truck,truck,car,car,car
p2_d0_04,car,truck,car,car,car,car
p2_d0_05,car,truck,car,car,truck,truck
p2_d0_06,car,truck,car,car,car,car
p2_d0_07,car,truck,car,car,car,car
p2_d0_08,car,truck,car,car,car,car
p2_d0_09,car,truck,car,car,car,car
p2_d0_10,car,truck,truck,car,car,car
p2_d0_11,car,truck,car,car,car,car
p2_d0_12,car,truck,car,car,car,car
p2_d0_13,car,truck,car,car,car,car
p2_d0_14,car,truck,car,car,car,car
p2_d0_15,car,truck,car,car,car,car
p2_d0_16,car,truck,car,car,car,car
p2_d0_17,car,truck,car,car,car,car
p2_d0_18,car,truck,car,car,car,car
p2_d0_19,car,truck,car,car,car,car
p2_d0_20,car,truck,car,car,car,car
p2_d1_00,truck,car,truck,truck,truck,truck
p2_d1_01,truck,car,truck,truck,truck,truck
p2_d1_03,truck,car,truck,truck,airplane,truck
p2_d1_04,truck,car,truck,truck,truck,truck
p2_d1_05,truck,car,truck,truck,truck,truck
p2_d1_07,truck,car,truck,truck,truck,truck
p2_d1_08,truck,car,car,truck,truck,truck
p2_d1_09,truck,car,truck,truck,truck,truck
p2_d1_10,truck,car,truck,truck,truck,truck
p2_d1_11,truck,car,truck,car,car,car
p2_d1_12,truck,car,truck,truck,truck,truck
p2_d1_13,truck,car,truck,truck,truck,truck
p2_d1_14,truck,car,truck,truck,truck,truck
p2_d1_15,truck,car,truck,truck,truck,car
p2_d1_16,truck,car,truck,truck,truck,truck
p2_d1_17,truck,car,truck,truck,truck,truck
p2_d1_18,truck,car,car,car,truck,truck
p2_d1_19,truck,car,car,car,car,car
p2_d1_20,truck,car,truck,car,car,car
p2_d1_21,truck,car,truck,truck,truck,truck
p3_d0_00,airplane,bird,bird,airplane,airplane,airplane
p3_d0_02,airplane,bird,bird,bird,airplane,airplane
p3_d0_03,airplane,bird,bird,deer,bird,horse
p3_d0_04,airplane,bird,bird,airplane,airplane,airplane
p3_d0_05,airplane,bird,bird,airplane,airplane,airplane
p3_d0_06,airplane,bird,bird,airplane,airplane,airplane
p3_d0_08,airplane,bird,bird,bird,bird,bird
p3_d0_09,airplane,bird,bird,airplane,airplane,airplane
p3_d0_10,airplane,bird,deer,airplane,airplane,airplane
p3_d0_11,airplane,bird,bird,airplane,airplane,ship
p3_d0_13,airplane,bird,bird,bird,airplane,airplane
p3_d0_14,airplane,bird,bird,airplane,airplane,airplane
p3_d0_15,airplane,bird,bird,airplane,airplane,airplane
p3_d0_16,airplane,bird,bird,airplane,airplane,airplane
p3_d0_17,airplane,bird,bird,airplane,bird,bird
p3_d0_18,airplane,bird,bird,airplane,bird,bird
p3_d0_20,airplane,bird,bird,bird,bird,truck
p3_d0_21,airplane,bird,deer,cat,deer,deer
p3_d0_22,airplane,bird,bird,bird,airplane,airplane
p3_d0_23,airplane,bird,bird,airplane,airplane,airplane
p3_d1_00,bird,airplane,bird,bird,bird,bird
p3_d1_02,bird,airplane,bird,bird,bird,bird
p3_d1_03,bird,airplane,bird,bird,bird,bird
p3_d1_06,bird,airplane,bird,cat,cat,cat
p3_d1_07,bird,airplane,ship,airplane,bird,car
p3_d1_08,bird,airplane,bird,bird,bird,bird
p3_d1_09,bird,airplane,ship,bird,bird,bird
p3_d1_10,bird,airplane,cat,bird,bird,deer
p3_d1_11,bird,airplane,bird,bird,bird,bird
p3_d1_12,bird,airplane,bird,bird,bird,bird
p3_d1_13,bird,airplane,bird,bird,bird,bird
p3_d1_16,bird,airplane,bird,bird,bird,bird
p3_d1_17,bird,airplane,bird,bird,bird,bird
p3_d1_18,bird,airplane,bird,bird,bird,bird
p3_d1_19,bird,airplane,bird,bird,bird,bird
p3_d1_20,bird,airplane,bird,bird,bird,bird
p3_d1_23,bird,airplane,bird,bird,bird,bird
p3_d1_24,bird,airplane,bird,bird,bird,bird
p3_d1_25,bird,airplane,bird,bird,bird,bird
p3_d1_26,bird,airplane,bird,bird,bird,bird
p4_d0_00,airplane,ship,ship,airplane,airplane,airplane
p4_d0_01,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_02,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_03,airplane,ship,ship,airplane,airplane,airplane
p4_d0_04,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_05,airplane,ship,ship,airplane,airplane,airplane
p4_d0_06,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_07,airplane,ship,bird,airplane,airplane,airplane
p4_d0_08,airplane,ship,truck,airplane,airplane,truck
p4_d0_09,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_10,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_11,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_12,airplane,ship,ship,airplane,airplane,airplane
p4_d0_13,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_15,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_16,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_17,airplane,ship,airplane,airplane,airplane,airplane
