id,pair,direction,content_class,style_class,content_id,style_id,content_file,style_file,candidate_file,accept,reason
p0_d0_00,0,0,cat,dog,2539,685,p0_d0_00_content.png,p0_d0_00_style.png,p0_d0_00_candidate.png,yes,
p0_d0_01,0,0,cat,dog,3383,1644,p0_d0_01_content.png,p0_d0_01_style.png,p0_d0_01_candidate.png,yes,
p0_d0_02,0,0,cat,dog,4881,4850,p0_d0_02_content.png,p0_d0_02_style.png,p0_d0_02_candidate.png,no,severe artifacts and content outline not recognizable
p0_d0_03,0,0,cat,dog,4330,4953,p0_d0_03_content.png,p0_d0_03_style.png,p0_d0_03_candidate.png,no,content outline not recognizable
p0_d0_04,0,0,cat,dog,3851,2766,p0_d0_04_content.png,p0_d0_04_style.png,p0_d0_04_candidate.png,yes,
p0_d0_05,0,0,cat,dog,979,3353,p0_d0_05_content.png,p0_d0_05_style.png,p0_d0_05_candidate.png,no,severe artifacts
p0_d0_06,0,0,cat,dog,176,2427,p0_d0_06_content.png,p0_d0_06_style.png,p0_d0_06_candidate.png,yes,
p0_d0_07,0,0,cat,dog,372,7130,p0_d0_07_content.png,p0_d0_07_style.png,p0_d0_07_candidate.png,no,content outline not recognizable
p0_d0_08,0,0,cat,dog,3778,6716,p0_d0_08_content.png,p0_d0_08_style.png,p0_d0_08_candidate.png,yes,
p0_d0_09,0,0,cat,dog,1401,6922,p0_d0_09_content.png,p0_d0_09_style.png,p0_d0_09_candidate.png,no,severe artifacts and outline distorted
p0_d0_10,0,0,cat,dog,1204,5701,p0_d0_10_content.png,p0_d0_10_style.png,p0_d0_10_candidate.png,yes,
p0_d0_11,0,0,cat,dog,4323,2265,p0_d0_11_content.png,p0_d0_11_style.png,p0_d0_11_candidate.png,yes,
p0_d0_12,0,0,cat,dog,2754,319,p0_d0_12_content.png,p0_d0_12_style.png,p0_d0_12_candidate.png,yes,
p0_d0_13,0,0,cat,dog,4463,6989,p0_d0_13_content.png,p0_d0_13_style.png,p0_d0_13_candidate.png,yes,
p0_d0_14,0,0,cat,dog,7744,7706,p0_d0_14_content.png,p0_d0_14_style.png,p0_d0_14_candidate.png,yes,
p0_d0_15,0,0,cat,dog,3276,3852,p0_d0_15_content.png,p0_d0_15_style.png,p0_d0_15_candidate.png,yes,
p0_d0_16,0,0,cat,dog,391,4966,p0_d0_16_content.png,p0_d0_16_style.png,p0_d0_16_candidate.png,no,severe artifacts
p0_d0_17,0,0,cat,dog,4168,7413,p0_d0_17_content.png,p0_d0_17_style.png,p0_d0_17_candidate.png,yes,
p0_d0_18,0,0,cat,dog,2536,645,p0_d0_18_content.png,p0_d0_18_style.png,p0_d0_18_candidate.png,yes,
p0_d0_19,0,0,cat,dog,6952,5924,p0_d0_19_content.png,p0_d0_19_style.png,p0_d0_19_candidate.png,yes,
p0_d0_20,0,0,cat,dog,672,7776,p0_d0_20_content.png,p0_d0_20_style.png,p0_d0_20_candidate.png,yes,
p0_d0_21,0,0,cat,dog,3562,5381,p0_d0_21_content.png,p0_d0_21_style.png,p0_d0_21_candidate.png,yes,
p0_d0_22,0,0,cat,dog,2028,4547,p0_d0_22_content.png,p0_d0_22_style.png,p0_d0_22_candidate.png,yes,
p0_d0_23,0,0,cat,dog,3375,2458,p0_d0_23_content.png,p0_d0_23_style.png,p0_d0_23_candidate.png,yes,
p0_d0_24,0,0,cat,dog,4908,1626,p0_d0_24_content.png,p0_d0_24_style.png,p0_d0_24_candidate.png,no,severe artifacts
p0_d0_25,0,0,cat,dog,1370,1095,p0_d0_25_content.png,p0_d0_25_style.png,p0_d0_25_candidate.png,yes,
p0_d0_26,0,0,cat,dog,3914,5101,p0_d0_26_content.png,p0_d0_26_style.png,p0_d0_26_candidate.png,yes,
p0_d0_27,0,0,cat,dog,1563,3863,p0_d0_27_content.png,p0_d0_27_style.png,p0_d0_27_candidate.png,yes,
p0_d0_28,0,0,cat,dog,7793,1552,p0_d0_28_content.png,p0_d0_28_style.png,p0_d0_28_candidate.png,no,severe artifacts
p0_d0_29,0,0,cat,dog,7797,2623,p0_d0_29_content.png,p0_d0_29_style.png,p0_d0_29_candidate.png,yes,
p0_d0_30,0,0,cat,dog,4531,2807,p0_d0_30_content.png,p0_d0_30_style.png,p0_d0_30_candidate.png,yes,
p0_d0_31,0,0,cat,dog,4215,4570,p0_d0_31_content.png,p0_d0_31_style.png,p0_d0_31_candidate.png,yes,
p0_d0_32,0,0,cat,dog,1431,4106,p0_d0_32_content.png,p0_d0_32_style.png,p0_d0_32_candidate.png,yes,
p0_d0_33,0,0,cat,dog,4023,5496,p0_d0_33_content.png,p0_d0_33_style.png,p0_d0_33_candidate.png,yes,
p0_d0_34,0,0,cat,dog,1531,6358,p0_d0_34_content.png,p0_d0_34_style.png,p0_d0_34_candidate.png,yes,
p0_d0_35,0,0,cat,dog,4229,6414,p0_d0_35_content.png,p0_d0_35_style.png,p0_d0_35_candidate.png,yes,
p0_d0_36,0,0,cat,dog,4821,2268,p0_d0_36_content.png,p0_d0_36_style.png,p0_d0_36_candidate.png,yes,
