method,actual,predicted,count
source_only,dog,dog,243
source_only,dog,elephant,496
source_only,dog,giraffe,18
source_only,dog,guitar,1
source_only,dog,horse,12
source_only,dog,house,0
source_only,dog,person,2
source_only,elephant,dog,4
source_only,elephant,elephant,736
source_only,elephant,giraffe,0
source_only,elephant,guitar,0
source_only,elephant,horse,0
source_only,elephant,house,0
source_only,elephant,person,0
source_only,giraffe,dog,71
source_only,giraffe,elephant,243
source_only,giraffe,giraffe,382
source_only,giraffe,guitar,23
source_only,giraffe,horse,30
source_only,giraffe,house,4
source_only,giraffe,person,0
source_only,guitar,dog,0
source_only,guitar,elephant,115
source_only,guitar,giraffe,0
source_only,guitar,guitar,492
source_only,guitar,horse,0
source_only,guitar,house,1
source_only,guitar,person,0
source_only,horse,dog,100
source_only,horse,elephant,435
source_only,horse,giraffe,11
source_only,horse,guitar,7
source_only,horse,horse,253
source_only,horse,house,10
source_only,horse,person,0
source_only,house,dog,0
source_only,house,elephant,3
source_only,house,giraffe,0
source_only,house,guitar,1
source_only,house,horse,0
source_only,house,house,76
source_only,house,person,0
source_only,person,dog,1
source_only,person,elephant,131
source_only,person,giraffe,5
source_only,person,guitar,1
source_only,person,horse,0
source_only,person,house,0
source_only,person,person,22
dan_0p1,dog,dog,266
dan_0p1,dog,elephant,212
dan_0p1,dog,giraffe,12
dan_0p1,dog,guitar,0
dan_0p1,dog,horse,83
dan_0p1,dog,house,81
dan_0p1,dog,person,118
dan_0p1,elephant,dog,2
dan_0p1,elephant,elephant,671
dan_0p1,elephant,giraffe,0
dan_0p1,elephant,guitar,0
dan_0p1,elephant,horse,7
dan_0p1,elephant,house,47
dan_0p1,elephant,person,13
dan_0p1,giraffe,dog,68
dan_0p1,giraffe,elephant,29
dan_0p1,giraffe,giraffe,450
dan_0p1,giraffe,guitar,5
dan_0p1,giraffe,horse,56
dan_0p1,giraffe,house,89
dan_0p1,giraffe,person,56
dan_0p1,guitar,dog,0
dan_0p1,guitar,elephant,6
dan_0p1,guitar,giraffe,0
dan_0p1,guitar,guitar,581
dan_0p1,guitar,horse,0
dan_0p1,guitar,house,7
dan_0p1,guitar,person,14
dan_0p1,horse,dog,49
dan_0p1,horse,elephant,31
dan_0p1,horse,giraffe,11
dan_0p1,horse,guitar,1
dan_0p1,horse,horse,515
dan_0p1,horse,house,167
dan_0p1,horse,person,42
dan_0p1,house,dog,0
dan_0p1,house,elephant,0
dan_0p1,house,giraffe,0
dan_0p1,house,guitar,0
dan_0p1,house,horse,0
dan_0p1,house,house,80
dan_0p1,house,person,0
dan_0p1,person,dog,0
dan_0p1,person,elephant,0
dan_0p1,person,giraffe,0
dan_0p1,person,guitar,0
dan_0p1,person,horse,0
dan_0p1,person,house,23
dan_0p1,person,person,137
dan,dog,dog,0
dan,dog,elephant,0
dan,dog,giraffe,0
dan,dog,guitar,0
dan,dog,horse,0
dan,dog,house,772
dan,dog,person,0
dan,elephant,dog,0
dan,elephant,elephant,0
dan,elephant,giraffe,0
dan,elephant,guitar,0
dan,elephant,horse,0
dan,elephant,house,740
dan,elephant,person,0
dan,giraffe,dog,0
dan,giraffe,elephant,0
dan,giraffe,giraffe,0
dan,giraffe,guitar,0
dan,giraffe,horse,0
dan,giraffe,house,753
dan,giraffe,person,0
dan,guitar,dog,0
dan,guitar,elephant,0
dan,guitar,giraffe,0
dan,guitar,guitar,0
dan,guitar,horse,0
dan,guitar,house,608
dan,guitar,person,0
dan,horse,dog,0
dan,horse,elephant,0
dan,horse,giraffe,0
dan,horse,guitar,0
dan,horse,horse,0
dan,horse,house,816
dan,horse,person,0
dan,house,dog,0
dan,house,elephant,0
dan,house,giraffe,0
dan,house,guitar,0
dan,house,horse,0
dan,house,house,80
dan,house,person,0
dan,person,dog,0
dan,person,elephant,0
dan,person,giraffe,0
dan,person,guitar,0
dan,person,horse,0
dan,person,house,160
dan,person,person,0
dan_10,dog,dog,0
dan_10,dog,elephant,0
dan_10,dog,giraffe,0
dan_10,dog,guitar,0
dan_10,dog,horse,0
dan_10,dog,house,0
dan_10,dog,person,772
dan_10,elephant,dog,0
dan_10,elephant,elephant,0
dan_10,elephant,giraffe,0
dan_10,elephant,guitar,0
dan_10,elephant,horse,0
dan_10,elephant,house,0
dan_10,elephant,person,740
dan_10,giraffe,dog,0
dan_10,giraffe,elephant,0
dan_10,giraffe,giraffe,0
dan_10,giraffe,guitar,0
dan_10,giraffe,horse,0
dan_10,giraffe,house,0
dan_10,giraffe,person,753
dan_10,guitar,dog,0
dan_10,guitar,elephant,0
dan_10,guitar,giraffe,0
dan_10,guitar,guitar,0
dan_10,guitar,horse,0
dan_10,guitar,house,0
dan_10,guitar,person,608
dan_10,horse,dog,0
dan_10,horse,elephant,0
dan_10,horse,giraffe,0
dan_10,horse,guitar,0
dan_10,horse,horse,0
dan_10,horse,house,0
dan_10,horse,person,816
dan_10,house,dog,0
dan_10,house,elephant,0
dan_10,house,giraffe,0
dan_10,house,guitar,0
dan_10,house,horse,0
dan_10,house,house,0
dan_10,house,person,80
dan_10,person,dog,0
dan_10,person,elephant,0
dan_10,person,giraffe,0
dan_10,person,guitar,0
dan_10,person,horse,0
dan_10,person,house,0
dan_10,person,person,160
dann,dog,dog,0
dann,dog,elephant,3
dann,dog,giraffe,0
dann,dog,guitar,0
dann,dog,horse,0
dann,dog,house,436
dann,dog,person,333
dann,elephant,dog,0
dann,elephant,elephant,3
dann,elephant,giraffe,0
dann,elephant,guitar,0
dann,elephant,horse,0
