method,class,correct,total,accuracy
source_only,dog,243,772,0.31476683937823835
source_only,elephant,736,740,0.9945945945945946
source_only,giraffe,382,753,0.5073041168658698
source_only,guitar,492,608,0.8092105263157895
source_only,horse,253,816,0.31004901960784315
source_only,house,76,80,0.95
source_only,person,22,160,0.1375
dan_0p1,dog,266,772,0.344559585492228
dan_0p1,elephant,671,740,0.9067567567567567
dan_0p1,giraffe,450,753,0.5976095617529881
dan_0p1,guitar,581,608,0.9555921052631579
dan_0p1,horse,515,816,0.6311274509803921
dan_0p1,house,80,80,1.0
dan_0p1,person,137,160,0.85625
dan,dog,0,772,0.0
dan,elephant,0,740,0.0
dan,giraffe,0,753,0.0
dan,guitar,0,608,0.0
dan,horse,0,816,0.0
dan,house,80,80,1.0
dan,person,0,160,0.0
dan_10,dog,0,772,0.0
dan_10,elephant,0,740,0.0
dan_10,giraffe,0,753,0.0
dan_10,guitar,0,608,0.0
dan_10,horse,0,816,0.0
dan_10,house,0,80,0.0
dan_10,person,160,160,1.0
dann,dog,0,772,0.0
dann,elephant,3,740,0.004054054054054054
dann,giraffe,0,753,0.0
dann,guitar,0,608,0.0
dann,horse,0,816,0.0
dann,house,31,80,0.3875
dann,person,124,160,0.775
cdan,dog,225,772,0.2914507772020725
cdan,elephant,1,740,0.0013513513513513514
cdan,giraffe,119,753,0.15803452855245684
cdan,guitar,529,608,0.8700657894736842
cdan,horse,257,816,0.31495098039215685
cdan,house,80,80,1.0
cdan,person,160,160,1.0
