method,class,correct,total,accuracy
dan_clip5,dog,400,772,0.5181347150259067
dan_clip5,elephant,561,740,0.7581081081081081
dan_clip5,giraffe,428,753,0.5683930942895087
dan_clip5,guitar,468,608,0.7697368421052632
dan_clip5,horse,471,816,0.5772058823529411
dan_clip5,house,80,80,1.0
dan_clip5,person,109,160,0.68125
dann_clip5,dog,0,772,0.0
dann_clip5,elephant,0,740,0.0
dann_clip5,giraffe,73,753,0.09694555112881806
dann_clip5,guitar,0,608,0.0
dann_clip5,horse,0,816,0.0
dann_clip5,house,0,80,0.0
dann_clip5,person,160,160,1.0
cdan_clip5,dog,534,772,0.6917098445595855
cdan_clip5,elephant,141,740,0.19054054054054054
cdan_clip5,giraffe,515,753,0.6839309428950863
cdan_clip5,guitar,586,608,0.9638157894736842
cdan_clip5,horse,697,816,0.8541666666666666
cdan_clip5,house,80,80,1.0
cdan_clip5,person,129,160,0.80625
