method,actual,predicted,count
erm,dog,dog,243
erm,dog,elephant,496
erm,dog,giraffe,18
erm,dog,guitar,1
erm,dog,horse,12
erm,dog,house,0
erm,dog,person,2
erm,elephant,dog,4
erm,elephant,elephant,736
erm,elephant,giraffe,0
erm,elephant,guitar,0
erm,elephant,horse,0
erm,elephant,house,0
erm,elephant,person,0
erm,giraffe,dog,71
erm,giraffe,elephant,243
erm,giraffe,giraffe,382
erm,giraffe,guitar,23
erm,giraffe,horse,30
erm,giraffe,house,4
erm,giraffe,person,0
erm,guitar,dog,0
erm,guitar,elephant,115
erm,guitar,giraffe,0
erm,guitar,guitar,492
erm,guitar,horse,0
erm,guitar,house,1
erm,guitar,person,0
erm,horse,dog,100
erm,horse,elephant,435
erm,horse,giraffe,11
erm,horse,guitar,7
erm,horse,horse,253
erm,horse,house,10
erm,horse,person,0
erm,house,dog,0
erm,house,elephant,3
erm,house,giraffe,0
erm,house,guitar,1
erm,house,horse,0
erm,house,house,76
erm,house,person,0
erm,person,dog,1
erm,person,elephant,131
erm,person,giraffe,5
erm,person,guitar,1
erm,person,horse,0
erm,person,house,0
erm,person,person,22
dan_dg_0p1,dog,dog,381
dan_dg_0p1,dog,elephant,158
dan_dg_0p1,dog,giraffe,32
dan_dg_0p1,dog,guitar,0
dan_dg_0p1,dog,horse,66
dan_dg_0p1,dog,house,0
dan_dg_0p1,dog,person,135
dan_dg_0p1,elephant,dog,61
dan_dg_0p1,elephant,elephant,635
dan_dg_0p1,elephant,giraffe,4
dan_dg_0p1,elephant,guitar,0
dan_dg_0p1,elephant,horse,9
dan_dg_0p1,elephant,house,0
dan_dg_0p1,elephant,person,31
dan_dg_0p1,giraffe,dog,70
dan_dg_0p1,giraffe,elephant,52
dan_dg_0p1,giraffe,giraffe,535
dan_dg_0p1,giraffe,guitar,5
dan_dg_0p1,giraffe,horse,35
dan_dg_0p1,giraffe,house,0
dan_dg_0p1,giraffe,person,56
dan_dg_0p1,guitar,dog,0
dan_dg_0p1,guitar,elephant,26
dan_dg_0p1,guitar,giraffe,15
dan_dg_0p1,guitar,guitar,553
dan_dg_0p1,guitar,horse,1
dan_dg_0p1,guitar,house,0
dan_dg_0p1,guitar,person,13
dan_dg_0p1,horse,dog,139
dan_dg_0p1,horse,elephant,79
dan_dg_0p1,horse,giraffe,35
dan_dg_0p1,horse,guitar,0
dan_dg_0p1,horse,horse,475
dan_dg_0p1,horse,house,2
dan_dg_0p1,horse,person,86
dan_dg_0p1,house,dog,0
dan_dg_0p1,house,elephant,2
dan_dg_0p1,house,giraffe,2
dan_dg_0p1,house,guitar,0
dan_dg_0p1,house,horse,0
dan_dg_0p1,house,house,66
dan_dg_0p1,house,person,10
dan_dg_0p1,person,dog,1
dan_dg_0p1,person,elephant,10
dan_dg_0p1,person,giraffe,1
dan_dg_0p1,person,guitar,0
dan_dg_0p1,person,horse,0
dan_dg_0p1,person,house,0
dan_dg_0p1,person,person,148
dan_dg,dog,dog,0
dan_dg,dog,elephant,0
dan_dg,dog,giraffe,0
dan_dg,dog,guitar,0
dan_dg,dog,horse,0
dan_dg,dog,house,0
dan_dg,dog,person,772
dan_dg,elephant,dog,0
dan_dg,elephant,elephant,0
dan_dg,elephant,giraffe,0
dan_dg,elephant,guitar,0
dan_dg,elephant,horse,0
dan_dg,elephant,house,0
dan_dg,elephant,person,740
dan_dg,giraffe,dog,0
dan_dg,giraffe,elephant,0
dan_dg,giraffe,giraffe,0
dan_dg,giraffe,guitar,0
dan_dg,giraffe,horse,0
dan_dg,giraffe,house,0
dan_dg,giraffe,person,753
dan_dg,guitar,dog,0
dan_dg,guitar,elephant,0
dan_dg,guitar,giraffe,0
dan_dg,guitar,guitar,0
dan_dg,guitar,horse,0
dan_dg,guitar,house,0
dan_dg,guitar,person,608
dan_dg,horse,dog,0
dan_dg,horse,elephant,0
dan_dg,horse,giraffe,0
dan_dg,horse,guitar,0
dan_dg,horse,horse,0
dan_dg,horse,house,0
dan_dg,horse,person,816
dan_dg,house,dog,0
dan_dg,house,elephant,0
dan_dg,house,giraffe,0
dan_dg,house,guitar,0
dan_dg,house,horse,0
dan_dg,house,house,0
dan_dg,house,person,80
