method,class,correct,total,accuracy
erm,dog,243,772,0.31476683937823835
erm,elephant,736,740,0.9945945945945946
erm,giraffe,382,753,0.5073041168658698
erm,guitar,492,608,0.8092105263157895
erm,horse,253,816,0.31004901960784315
erm,house,76,80,0.95
erm,person,22,160,0.1375
dan_dg_0p1,dog,381,772,0.49352331606217614
dan_dg_0p1,elephant,635,740,0.8581081081081081
dan_dg_0p1,giraffe,535,753,0.7104913678618858
dan_dg_0p1,guitar,553,608,0.9095394736842105
dan_dg_0p1,horse,475,816,0.5821078431372549
dan_dg_0p1,house,66,80,0.825
dan_dg_0p1,person,148,160,0.925
dan_dg,dog,0,772,0.0
dan_dg,elephant,0,740,0.0
dan_dg,giraffe,0,753,0.0
dan_dg,guitar,0,608,0.0
dan_dg,horse,0,816,0.0
dan_dg,house,0,80,0.0
dan_dg,person,160,160,1.0
dan_dg_10,dog,0,772,0.0
dan_dg_10,elephant,0,740,0.0
dan_dg_10,giraffe,0,753,0.0
dan_dg_10,guitar,0,608,0.0
dan_dg_10,horse,0,816,0.0
dan_dg_10,house,0,80,0.0
dan_dg_10,person,160,160,1.0
sam,dog,388,772,0.5025906735751295
sam,elephant,709,740,0.9581081081081081
sam,giraffe,486,753,0.6454183266932271
sam,guitar,538,608,0.8848684210526315
sam,horse,456,816,0.5588235294117647
sam,house,73,80,0.9125
sam,person,118,160,0.7375
