method,actual,predicted,count
erm,dog,dog,243
erm,dog,elephant,496
erm,dog,giraffe,18
erm,dog,guitar,1
erm,dog,horse,12
erm,dog,house,0
erm,dog,person,2
erm,elephant,dog,4
erm,elephant,elephant,736
erm,elephant,giraffe,0
erm,elephant,guitar,0
erm,elephant,horse,0
erm,elephant,house,0
erm,elephant,person,0
erm,giraffe,dog,71
erm,giraffe,elephant,243
erm,giraffe,giraffe,382
erm,giraffe,guitar,23
erm,giraffe,horse,30
erm,giraffe,house,4
erm,giraffe,person,0
erm,guitar,dog,0
erm,guitar,elephant,115
erm,guitar,giraffe,0
erm,guitar,guitar,492
erm,guitar,horse,0
erm,guitar,house,1
erm,guitar,person,0
erm,horse,dog,100
erm,horse,elephant,435
erm,horse,giraffe,11
erm,horse,guitar,7
erm,horse,horse,253
erm,horse,house,10
erm,horse,person,0
erm,house,dog,0
erm,house,elephant,3
erm,house,giraffe,0
erm,house,guitar,1
erm,house,horse,0
erm,house,house,76
erm,house,person,0
erm,person,dog,1
erm,person,elephant,131
erm,person,giraffe,5
erm,person,guitar,1
erm,person,horse,0
erm,person,house,0
erm,person,person,22
dan_dg_clip5,dog,dog,0
dan_dg_clip5,dog,elephant,0
dan_dg_clip5,dog,giraffe,0
dan_dg_clip5,dog,guitar,0
dan_dg_clip5,dog,horse,0
dan_dg_clip5,dog,house,0
dan_dg_clip5,dog,person,772
dan_dg_clip5,elephant,dog,0
dan_dg_clip5,elephant,elephant,0
dan_dg_clip5,elephant,giraffe,0
dan_dg_clip5,elephant,guitar,0
dan_dg_clip5,elephant,horse,0
dan_dg_clip5,elephant,house,0
dan_dg_clip5,elephant,person,740
dan_dg_clip5,giraffe,dog,0
dan_dg_clip5,giraffe,elephant,0
dan_dg_clip5,giraffe,giraffe,0
dan_dg_clip5,giraffe,guitar,0
dan_dg_clip5,giraffe,horse,0
dan_dg_clip5,giraffe,house,0
dan_dg_clip5,giraffe,person,753
dan_dg_clip5,guitar,dog,0
dan_dg_clip5,guitar,elephant,0
dan_dg_clip5,guitar,giraffe,0
dan_dg_clip5,guitar,guitar,0
dan_dg_clip5,guitar,horse,0
dan_dg_clip5,guitar,house,0
dan_dg_clip5,guitar,person,608
dan_dg_clip5,horse,dog,0
dan_dg_clip5,horse,elephant,0
dan_dg_clip5,horse,giraffe,0
dan_dg_clip5,horse,guitar,0
dan_dg_clip5,horse,horse,0
dan_dg_clip5,horse,house,0
dan_dg_clip5,horse,person,816
dan_dg_clip5,house,dog,0
dan_dg_clip5,house,elephant,0
dan_dg_clip5,house,giraffe,0
dan_dg_clip5,house,guitar,0
dan_dg_clip5,house,horse,0
dan_dg_clip5,house,house,0
dan_dg_clip5,house,person,80
dan_dg_clip5,person,dog,0
dan_dg_clip5,person,elephant,0
dan_dg_clip5,person,giraffe,0
dan_dg_clip5,person,guitar,0
dan_dg_clip5,person,horse,0
dan_dg_clip5,person,house,0
dan_dg_clip5,person,person,160
dan_dg_norm_clip5,dog,dog,126
dan_dg_norm_clip5,dog,elephant,383
dan_dg_norm_clip5,dog,giraffe,154
dan_dg_norm_clip5,dog,guitar,0
dan_dg_norm_clip5,dog,horse,55
dan_dg_norm_clip5,dog,house,3
dan_dg_norm_clip5,dog,person,51
dan_dg_norm_clip5,elephant,dog,0
dan_dg_norm_clip5,elephant,elephant,723
dan_dg_norm_clip5,elephant,giraffe,14
dan_dg_norm_clip5,elephant,guitar,0
dan_dg_norm_clip5,elephant,horse,0
dan_dg_norm_clip5,elephant,house,1
dan_dg_norm_clip5,elephant,person,2
dan_dg_norm_clip5,giraffe,dog,2
dan_dg_norm_clip5,giraffe,elephant,106
dan_dg_norm_clip5,giraffe,giraffe,601
dan_dg_norm_clip5,giraffe,guitar,0
dan_dg_norm_clip5,giraffe,horse,34
dan_dg_norm_clip5,giraffe,house,2
dan_dg_norm_clip5,giraffe,person,8
dan_dg_norm_clip5,guitar,dog,0
dan_dg_norm_clip5,guitar,elephant,48
dan_dg_norm_clip5,guitar,giraffe,78
dan_dg_norm_clip5,guitar,guitar,480
dan_dg_norm_clip5,guitar,horse,1
dan_dg_norm_clip5,guitar,house,0
dan_dg_norm_clip5,guitar,person,1
dan_dg_norm_clip5,horse,dog,1
dan_dg_norm_clip5,horse,elephant,243
dan_dg_norm_clip5,horse,giraffe,189
dan_dg_norm_clip5,horse,guitar,1
dan_dg_norm_clip5,horse,horse,366
dan_dg_norm_clip5,horse,house,10
dan_dg_norm_clip5,horse,person,6
dan_dg_norm_clip5,house,dog,0
dan_dg_norm_clip5,house,elephant,1
dan_dg_norm_clip5,house,giraffe,0
dan_dg_norm_clip5,house,guitar,0
dan_dg_norm_clip5,house,horse,0
dan_dg_norm_clip5,house,house,78
dan_dg_norm_clip5,house,person,1
dan_dg_norm_clip5,person,dog,0
dan_dg_norm_clip5,person,elephant,36
dan_dg_norm_clip5,person,giraffe,25
dan_dg_norm_clip5,person,guitar,3
dan_dg_norm_clip5,person,horse,0
dan_dg_norm_clip5,person,house,10
dan_dg_norm_clip5,person,person,86
