method,class,correct,total,accuracy
erm,dog,243,772,0.31476683937823835
erm,elephant,736,740,0.9945945945945946
erm,giraffe,382,753,0.5073041168658698
erm,guitar,492,608,0.8092105263157895
erm,horse,253,816,0.31004901960784315
erm,house,76,80,0.95
erm,person,22,160,0.1375
dan_dg_clip5,dog,0,772,0.0
dan_dg_clip5,elephant,0,740,0.0
dan_dg_clip5,giraffe,0,753,0.0
dan_dg_clip5,guitar,0,608,0.0
dan_dg_clip5,horse,0,816,0.0
dan_dg_clip5,house,0,80,0.0
dan_dg_clip5,person,160,160,1.0
dan_dg_norm_clip5,dog,126,772,0.16321243523316062
dan_dg_norm_clip5,elephant,723,740,0.977027027027027
dan_dg_norm_clip5,giraffe,601,753,0.798140770252324
dan_dg_norm_clip5,guitar,480,608,0.7894736842105263
dan_dg_norm_clip5,horse,366,816,0.4485294117647059
dan_dg_norm_clip5,house,78,80,0.975
dan_dg_norm_clip5,person,86,160,0.5375
