method,score,unknown_group,threshold,auroc,known_test_acceptance,unknown_rejection,fpr_at_95_tpr
Vanilla,MSP,Near,0.1626642346382141,0.826490625,0.95,0.29,0.71
Vanilla,MSP,Far,0.1626642346382141,0.9061144999999999,0.95,0.46375,0.53625
Vanilla,MSP,All,0.1626642346382141,0.8663025625,0.95,0.376875,0.623125
Vanilla,MLS,Near,-5.826396465301514,0.8117138125,0.9466,0.35625,0.64375
Vanilla,MLS,Far,-5.826396465301514,0.907454,0.9466,0.5775,0.4225
Vanilla,MLS,All,-5.826396465301514,0.85958390625,0.9466,0.466875,0.533125
Vanilla,Energy,Near,-6.042794704437256,0.811665125,0.9444,0.36625,0.63375
Vanilla,Energy,Far,-6.042794704437256,0.908119625,0.9444,0.5875,0.4125
Vanilla,Energy,All,-6.042794704437256,0.859892375,0.9444,0.476875,0.523125
Vanilla,Mahalanobis,Near,2906.454833984375,0.8006873125,0.9523,0.2675,0.7325
Vanilla,Mahalanobis,Far,2906.454833984375,0.920101125,0.9523,0.5275,0.4725
Vanilla,Mahalanobis,All,2906.454833984375,0.86039421875,0.9523,0.3975,0.6025
GCSC,MLS,Near,-6.040231227874756,0.8076315000000001,0.9494,0.33,0.67
GCSC,MLS,Far,-6.040231227874756,0.9078085,0.9494,0.5775,0.4225
GCSC,MLS,All,-6.040231227874756,0.85772,0.9494,0.45375,0.54625
PROSER,MLS,Near,-4.470447063446045,0.8117184375000001,0.948,0.3125,0.6875
PROSER,MLS,Far,-4.470447063446045,0.8707882499999999,0.948,0.455,0.545
PROSER,MLS,All,-4.470447063446045,0.8412533437499999,0.948,0.38375,0.61625
PROSER,Placeholder,Near,5.876749492017552e-05,0.8067395625,0.9484,0.31375,0.68625
PROSER,Placeholder,Far,5.876749492017552e-05,0.8927177500000001,0.9484,0.52125,0.47875
PROSER,Placeholder,All,5.876749492017552e-05,0.84972865625,0.9484,0.4175,0.5825
